сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Оболонський; вул. Героїв Дніпра;38-Є;50.5188065;30.5067982;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;42;50.5221923;30.5094691;Найпростіші укриття;Підвал;Житловий будинок;ОД-502;Комунальна;338-30-89;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;5;50.5197304;30.4878619;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-31-27;Відсутній
м.Київ;Оболонський; вул. Героїв Дніпра;9;50.5186516;30.4891932;Найпростіші укриття;Підвал;Житловий будинок;ОД-504;Комунальна;338-30-91;Відсутній
м.Київ;Оболонський; вул. Джерельна;6/5;50.568292;30.4643737;Найпростіші укриття;Підвал;Житловий будинок;ОД-508;Комунальна;338-31-25;Відсутній
м.Київ;Оболонський; вул. Дніпроводська;13/1;50.56718015835181;30.46427211119562;Найпростіші укриття;Підвал;Житловий будинок;ОД-508;Комунальна;338-31-25;Відсутній
м.Київ;Оболонський; вул. Івашкевича;10;50.50496269502472;30.454578597700973;Найпростіші укриття;Підвал;Житловий будинок;ОД-506;Комунальна;338-30-92;Відсутній
м.Київ;Оболонський; вул. Йорданська;20;50.4985238;30.5056614;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Йорданська;22-А;50.5006217;30.506441;Найпростіші укриття;Підвал;Школа;ЗЗСО № 210;Комунальна;418-76-69;Відсутній
м.Київ;Оболонський; вул. Йорданська;22-А;50.4988235;30.5092198;Найпростіші укриття;Підвал;Школа;ЗЗСО І-ІІІ ст. № 233;Комунальна;419-94-47;Відсутній
м.Київ;Оболонський; вул. Йорданська;24-А;50.5000235;30.5091721;Найпростіші укриття;Підвал;Школа;ЗЗСО № 211;Комунальна;418-76-08;Відсутній
м.Київ;Оболонський; вул. Йорданська;24-А;50.4995731;30.5068761;Найпростіші укриття;Підвал;Школа;СДЮШОР «Зміна»;Комунальна;418-60-67;Відсутній
м.Київ;Оболонський; вул. Йорданська;26;50.5006558;30.5049881;Найпростіші укриття;Підвал;Адмін. будівля;КНЦП «ЦПМСД №1»;Комунальна;426-40-56;Відсутній
м.Київ;Оболонський; вул. Йорданська;26-А;50.5009825;30.5048352;Найпростіші укриття;Підвал;Адмін. будівля;КНЦП «ЦПМСД №1»;Комунальна;426-40-56;Відсутній
м.Київ;Оболонський; вул. Йорданська;4-Г;50.4918771;30.5100282;Найпростіші укриття;Підвал;Школа;ЗЗСО І-ІІІ ст. № 232;Комунальна;418-79-66;Відсутній
м.Київ;Оболонський; вул. Йорданська;5;50.4933641;30.5070328;Подвійного призначення;Підземний перехід;Підземний перехід;КП ШЕУ;Комунальна;468-23-26;Відсутній
м.Київ;Оболонський; вул. Йорданська;9-А;50.4964364;30.5064353;Найпростіші укриття;Підвал;Житловий будинок;Концертний-1;Приватна;068-125-71-07;Відсутній
м.Київ;Оболонський; вул. Йорданська;9-К;50.4961651;30.5067437;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Респект»;Приватна;580-40-81;Відсутній
м.Київ;Оболонський; вул. Йорданська;9-К;50.4961583;30.504201;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ТОВ «МЖК «Оболонь комфорт»;Приватна;500-31-76;В наявності
м.Київ;Оболонський; вул. Казанська;20;50.498692469395145;30.457267370716767;Найпростіші укриття;Підвал;Житловий будинок;ОД-506;Комунальна;338-30-92;Відсутній
м.Київ;Оболонський; вул. Калнишевського Петра;3-А;50.52110694347896;30.463327884209665;Найпростіші укриття;Підвал;Школа;ЗЗСО І-ІІІ ст. № 29;Комунальна;432-17-89;Відсутній
м.Київ;Оболонський; вул. Калнишевського Петра;5;50.52096018531346;30.464334799553605;Найпростіші укриття;Підвал;Житловий будинок;ОД-508;Комунальна;338-31-25;Відсутній
м.Київ;Оболонський; вул. Калнишевського Петра;7;50.5217066;30.4629178;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ТОВ «Управдом»;Приватна;487-91-87;В наявності
м.Київ;Оболонський; вул. Калнишевського Петра;8;50.52250949833942;30.466341311193748;Найпростіші укриття;Підвал;Житловий будинок;«Яскравий-3»обсл. ТОВ;Приватна;050-214-89-57;Відсутній
м.Київ;Оболонський; вул. Квітки Цісик;10;50.530701898308294;30.368915238178076;Найпростіші укриття;Підвал;Адмін. будівля;КМДКТЛ;Комунальна;401-94-61;Відсутній
м.Київ;Оболонський; вул. Кирилівська;14-Б;50.49062954283192;30.466029628388323;Найпростіші укриття;Підвал;Житловий будинок;«ЖБК Медик»;Приватна;468-61-09;Відсутній
м.Київ;Оболонський; вул. Кондратюка Юрія;1;50.526999489225005;30.454667213045926;Подвійного призначення;Підземний паркінг з пандусом;Житловий будинок;ТОВ «Киъвська КК»;Приватна;432-28-66;В наявності
м.Київ;Оболонський; вул. Кондратюка Юрія;3;50.526420493812665;30.45788428235787;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Київська КК»;Приватна;227-26-35;Відсутній
м.Київ;Оболонський; вул. Кондратюка Юрія;5;50.526363888132146;30.459176699553893;Найпростіші укриття;Підвал;Житловий будинок;ТОВ «Київська КК»;Приватна;227-26-35;Відсутній
