"city";"district";"address";"address_number";"latitude";"longitude";"closure_type";"shelter_type";"building_type";"owner";"ownership_type";"phone";"ramp"
"м.Київ";"Печерський";" вул. Інститутська";"24/7";"50.4441636";"30.5369425";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Іоанна Павла ІІ";"13";"50.4207389";"30.5333395";"Найпростіші укриття";"Підвал";"житловий будинок";"ЖБК ""Промінь""";"Приватна";"097 392 60 71";"Відсутній"
"м.Київ";"Печерський";" вул. Іоанна Павла ІІ";"16";"50.4194123";"30.5359449";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Іоанна Павла ІІ";"19";"50.4198055";"30.5365144";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Іоанна Павла ІІ";"19";"50.4198687";"30.5362113";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Іоанна Павла ІІ";"6/1";"50.42076";"30.53049";"Подвійного призначення";"Підземний паркінг з пандусом";"житловий будинок";"ЖК ""Бульвар фонтанів""";"Приватна";"067 321 46 07";"В наявності"
"м.Київ";"Печерський";" вул. Іоанна Павла ІІ";"7";"50.4213926";"30.5309915";"Найпростіші укриття";"Підвал";"житловий будинок";"Фан Ву Бао";"Приватна";"067 440 16 54";"Відсутній"
"м.Київ";"Печерський";" вул. Іоанна Павла ІІ";"7";"50.4212209";"30.5309311";"Найпростіші укриття";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Кловський узвіз";"15";"50.43722";"30.54021";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
"м.Київ";"Печерський";" вул. Кловський узвіз";"17";"50.43725";"30.54096";"Подвійного призначення";"Підвал";"житловий будинок";"КП ""Керуюча компанія""";"Комунальна";"067 326 48 36";"Відсутній"
