сity;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Солом'янський; вул. Пітерська;7;50.43554358713371;30.457584667660836;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 901 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-23-53;Відсутній
м.Київ;Солом'янський; вул. Політехнічна;12;50.447714022443606;30.4585397418785;Найпростіші укриття;Підвал;Гуртожиток;НТУУ КПІ;Інша;236-69-13;Відсутній
м.Київ;Солом'янський; вул. Політехнічна;14-В;50.44789926897628;30.457271967010524;Найпростіші укриття;Підвал;Гуртожиток;НТУУ КПІ;Інша;236-69-13;Відсутній
м.Київ;Солом'янський; вул. Політехнічна;37;50.44681298881224;30.459262126534473;Найпростіші укриття;Підвал;Гуртожиток;НТУУ КПІ;Інша;236-69-13;Відсутній
м.Київ;Солом'янський; вул. Політехнічна;39;50.44738758323031;30.459213241878494;Найпростіші укриття;Підвал;Гуртожиток;НТУУ КПІ;Інша;236-69-13;Відсутній
м.Київ;Солом'янський; вул. Політехнічна;41;50.44743391507657;30.45932357071453;Найпростіші укриття;Підвал;Гуртожиток;НТУУ КПІ;Інша;236-69-13;Відсутній
м.Київ;Солом'янський; вул. полковника Шутова;13;50.45041127362621;30.42759669769857;Найпростіші укриття;Підвал;Гуртожиток;"ДНЗ ""Центр професійної освіти інформаційних технологій поліграції та дизайну міста Києва""";Інша;242-00-62;Відсутній
м.Київ;Солом'янський; вул. Преображенська;17;50.42449659714571;30.47437714100313;Найпростіші укриття;Підвал;Школа;Спеціалізована школа № 43 з поглибленим вивченням предметів суспільно – гуман. циклу «Грааль»;Комунальна;275-55-74;Відсутній
м.Київ;Солом'янський; вул. Преображенська;2;50.426808124140635;30.46808254002557;Найпростіші укриття;Підвал;Учбовий к.;Київський національний університет будівництва і архітектури;Інша;275-16-02;Відсутній
м.Київ;Солом'янський; вул. Преображенська;6;50.42487768421918;30.471882811189598;Найпростіші укриття;Підвал;Учбовий к.;Київський національний університет будівництва і архітектури;Інша;275-16-02;Відсутній
м.Київ;Солом'янський; вул. Протасів яр;8;50.42723770759231;30.499732127512388;Подвійного призначення;Підвал;Адмін. будівля;ТОВ «Житло- сервіс»;Приватна;044-528-71-58;Відсутній
м.Київ;Солом'янський; вул. Пулюя;1;50.41787691319928;30.4662340275121;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Пулюя;3;50.41778814094941;30.464219312166588;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Пулюя;3-А;50.41625805506709;30.467209742857523;Найпростіші укриття;Підвал;Школа;Спеціалізована школа-дитячий садок І ступеня «Золотий ключик»;Комунальна;246-19-57;Відсутній
м.Київ;Солом'янський; вул. Пулюя;5-А;50.41545012125421;30.466125912166532;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Світличного Івана;2;50.43583416734652;30.455420845528163;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 901 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-23-53;Відсутній
м.Київ;Солом'янський; вул. Світличного Івана;4;50.435964527501675;30.45511344792794;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 901 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-23-53;Відсутній
м.Київ;Солом'янський; вул. Світличного Івана;4-А;50.435964527501675;30.45511344792794;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 901 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-23-53;Відсутній
м.Київ;Солом'янський; вул. Світличного Івана;6;50.43733754555329;30.454476707926943;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 901 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-23-53;Відсутній
м.Київ;Солом'янський; вул. Сім’ї Ідзіковських;17;50.424932406998664;30.453379241003223;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Сім’ї Ідзіковських;2;50.42453916168472;30.45576452565767;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Смілянська;7;50.42282053233735;30.450910027512286;Подвійного призначення;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Смілянська;8;50.42280483239173;30.452600327512233;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Смілянська;9;50.4231968890672;30.44954581216685;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 902 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-00-21;Відсутній
м.Київ;Солом'янський; вул. Смоленська;;50.45181642604026;30.44494352709251;Найпростіші укриття;Підземний перехід з пандусом;Підземний перехід;КП «ШЕУ»;Комунальна;;В наявності
м.Київ;Солом'янський; вул. Смоленська;4-А;50.45076473552595;30.452112656349353;Найпростіші укриття;Підвал;Дитячий садочок;Дошкільний навчальний заклад № 397;Комунальна;456-04-98;Відсутній
м.Київ;Солом'янський; вул. Смоленська;4;50.450966640376365;30.451132314022217;Найпростіші укриття;Підвал;Школа;Середня загальноосвітня школа № 74;Комунальна;456-04-72;Відсутній
м.Київ;Солом'янський; вул. Смоленська;8;50.45115450521931;30.44836415449477;Найпростіші укриття;Підвал;Лікарня;Київський міський психоневрологічний диспансер № 5;Комунальна;456-02-76;Відсутній
м.Київ;Солом'янський; вул. Солом’янська;10;50.425862321801034;30.476288312166695;Найпростіші укриття;Підземний паркінг;Житловий будинок;ЖБК «Будівельник-2»;Приватна;044-275-29-33;Відсутній
м.Київ;Солом'янський; вул. Солом’янська;17;50.424401356224074;30.482362356348695;Найпростіші укриття;Підвал;Адмін. будівля;Комунальне неприбуткове підприємство (КНП) «Центр первинної медико-санітарної допомоги № 2 Солом’янського району м. Києва»;Комунальна;249-78-58;Відсутній
м.Київ;Солом'янський; вул. Солом’янська;38;50.419876534620336;30.489626741002954;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 903 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;275-54-21;Відсутній
м.Київ;Солом'янський; вул. Солом’янська;4/2;50.42773678837773;30.474951680884985;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 903 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;275-54-21;Відсутній
м.Київ;Солом'янський; вул. Солом’янська;41;50.421222430541576;30.49119141216665;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 903 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;275-54-21;Відсутній
м.Київ;Солом'янський; вул. Соломянська;14;50.425320018122505;30.477568098675885;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 903 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;275-54-21;Відсутній
м.Київ;Солом'янський; вул. Стадіонна;16/6;50.434704925002116;30.483259485185226;Найпростіші укриття;Підвал;Житловий будинок;ЖЕД № 901 КП «КК з ОЖФ Солом’янського району м.Києва»;Комунальна;242-23-53;Відсутній
м.Київ;Солом'янський; вул. Стадіонна;6-А;50.43644635230025;30.482788154494315;Найпростіші укриття;Підвал;Адмін. будівля;ВП « Київське територіальне управління» Філії «БМЕС» ПАТ «Укрзалізниця»;Приватна;(04342) 5-32-65;Відсутній
