city;district;address;address_number;latitude;longitude;closure_type;shelter_type;building_type;owner;ownership_type;phone;ramp
м.Київ;Шевченківський; вул. Пушкінська;1-3/5;50.4476842;30.5193868;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Купідон;Приватна;068-710-35-34;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;11;50.4461331;30.51878;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Штани»;Приватна;279-17-01;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;19-А;50.4440485;30.5184559;Подвійного призначення;Підвал;Житловий будинок;Суханов О.Ю.;Приватна;067-441-79-30;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;2-4/7;50.4476507;30.5188249;Подвійного призначення;Підвал;Житловий будинок;ФОП Хвилюк;Приватна;097-724-42-44;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;20-А;50.4446342;30.5169381;Подвійного призначення;Підвал;Житловий будинок;ТОВ «Карпати»;Приватна;073-800-61-61;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;21;50.4438229;30.5178561;Подвійного призначення;Підвал;Житловий будинок;ФО Грачов;Приватна;067-209-98-99;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;21;50.4440005;30.5179044;Подвійного призначення;Підвал;Житловий будинок;ДВД «Промт»;Приватна;068-266-76-76;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;39;50.4407808;30.5169327;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;278-70-43;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;41;50.4406952;30.51658;Подвійного призначення;Підвал;Житловий будинок;ТОВ «ЛСД»;Приватна;066-605-12-00;Відсутній
м.Київ;Шевченківський; вул. Пушкінська;45/2;50.4399841;30.5162954;Подвійного призначення;Підвал;Житловий будинок;ФО Костюченко;Приватна;279-90-00;Відсутній
м.Київ;Шевченківський; вул. Рейтерська;2;50.4513078;30.5135205;Подвійного призначення;Підвал;Житловий будинок;ФО Комський;Приватна;067-441-51-51;Відсутній
м.Київ;Шевченківський; вул. Ромоданова Академіка;14;50.472799;30.4721956;Подвійного призначення;Підвал;Житловий будинок;ГО СЕЦ ТСОУ;Інша;050-383-93-44;Відсутній
м.Київ;Шевченківський; вул. Ромоданова Академіка;17;50.4740271;30.472902;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;096-399-28-50;Відсутній
м.Київ;Шевченківський; вул. Ромоданова Академіка;6/29;50.4701942;30.4691449;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;096-399-28-50;Відсутній
м.Київ;Шевченківський; вул. Ружинська;10;50.4696612;30.4080992;Найпростіші укриття;Підвал;Житловий будинок;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Шевченківського району м. Києва""";Комунальна;067-101-45-71;Відсутній
